S/Ns,Pig Run,Contractor,Date Launched,Time Launched,Launch Pressure (bar),Pressure After Launch (bar),Pig Type,Date Recovered,Time Recovered,Recovery Pressure (bar),Pressure After Recovery (bar),Pig Condition,Debris QTY (kg),Debris Type,Dimensions,Line
1,1,DSV,04/25/2020,1131hrs,24.6,24.8,BIDI+Brushes,04/28/2020,2323hrs,24.9,24.9,OK,2189,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
2,2,DSV,11/08/2020,1826hrs,16.1,16.6,BIDI Without Brushes,11/12/2020,2145hrs,23.8,23.8,Worn,2902,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
3,3,DSV,10/10/2020,0053hrs,22.3,25.0,BIDI+Brushes,10/13/2020,2238hrs,22.8,22.8,Worn,614,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
4,4,DSV,01/01/2020,2352hrs,22.9,24.1,BIDI Without Brushes,01/04/2020,1006hrs,24.8,24.8,Worn,2759,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
5,5,DSV,12/04/2020,0359hrs,22.9,24.8,BIDI+Brushes,12/07/2020,1122hrs,24.7,24.7,OK,1832,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
6,6,DSV,06/23/2020,0213hrs,22.7,23.4,BIDI Without Brushes,06/27/2020,2048hrs,24.8,24.8,OK,796,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
7,7,DSV,02/26/2020,0828hrs,21.3,22.4,BIDI Without Brushes,03/02/2020,0038hrs,23.5,23.5,Moderate,1280,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
8,8,DSV,01/21/2020,0409hrs,21.0,21.9,BIDI Without Brushes,01/24/2020,0950hrs,24.5,24.5,Moderate,1801,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
9,9,DSV,02/20/2020,0000hrs,20.6,24.9,BIDI+Brushes,02/24/2020,0032hrs,20.7,20.7,OK,2104,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
10,10,DSV,07/08/2020,1335hrs,16.4,24.5,BIDI Without Brushes,07/10/2020,1414hrs,17.8,17.8,Worn,1479,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
1,1,DSV,03/16/2020,0218hrs,23.2,23.9,BIDI+Brushes,03/21/2020,0534hrs,24.9,24.9,OK,846,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
2,2,DSV,11/07/2020,1813hrs,17.0,21.7,BIDI+Brushes,11/09/2020,1854hrs,19.3,19.3,Worn,2769,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
3,3,DSV,07/07/2020,1553hrs,20.4,21.0,BIDI+Brushes,07/10/2020,1056hrs,22.4,22.4,Worn,1420,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
4,4,DSV,01/14/2020,1735hrs,22.6,23.4,BIDI Without Brushes,01/17/2020,0750hrs,24.3,24.3,Moderate,1105,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
5,5,DSV,09/17/2020,1647hrs,16.3,24.1,BIDI Without Brushes,09/19/2020,0643hrs,16.9,16.9,Worn,1418,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
6,6,DSV,05/31/2020,1201hrs,18.5,20.5,BIDI Without Brushes,06/04/2020,1714hrs,24.5,24.5,OK,1756,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
7,7,DSV,01/03/2020,1452hrs,20.3,23.7,BIDI Without Brushes,01/07/2020,0906hrs,22.1,22.1,OK,677,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
8,8,DSV,01/17/2020,0245hrs,21.7,22.5,BIDI Without Brushes,01/20/2020,0248hrs,23.6,23.6,Moderate,1843,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
9,9,DSV,10/24/2020,0627hrs,16.6,18.5,BIDI Without Brushes,10/29/2020,1207hrs,24.6,24.6,OK,1506,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
10,10,DSV,09/29/2020,2243hrs,23.6,24.9,BIDI+Brushes,10/04/2020,2329hrs,24.1,24.1,Worn,1516,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
1,1,DSV,03/23/2020,0133hrs,21.5,24.5,BIDI Without Brushes,03/28/2020,1046hrs,24.9,24.9,OK,1021,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
2,2,DSV,03/01/2020,1414hrs,23.7,24.3,BIDI+Brushes,03/03/2020,0007hrs,24.9,24.9,OK,1149,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
3,3,DSV,08/04/2020,0828hrs,23.8,24.3,BIDI Without Brushes,08/08/2020,0844hrs,24.2,24.2,Worn,1748,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
4,4,DSV,10/02/2020,0953hrs,21.3,24.6,BIDI Without Brushes,10/07/2020,1626hrs,24.1,24.1,Worn,2898,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
5,5,DSV,08/10/2020,0651hrs,23.9,24.3,BIDI+Brushes,08/15/2020,0609hrs,24.0,24.0,Moderate,1646,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
6,6,DSV,07/19/2020,0741hrs,24.5,24.8,BIDI Without Brushes,07/24/2020,0903hrs,24.7,24.7,OK,1780,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
7,7,DSV,08/16/2020,0223hrs,18.0,20.7,BIDI Without Brushes,08/19/2020,0808hrs,18.8,18.8,OK,2461,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
8,8,DSV,06/14/2020,1851hrs,18.9,21.7,BIDI Without Brushes,06/17/2020,0410hrs,19.3,19.3,OK,718,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
9,9,DSV,10/26/2020,1237hrs,18.9,22.3,BIDI+Brushes,10/31/2020,2036hrs,24.8,24.8,Worn,2375,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
10,10,DSV,11/23/2020,0905hrs,16.4,24.1,BIDI+Brushes,11/26/2020,0822hrs,18.1,18.1,Worn,502,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
