Line,Pig Run,Contractor,Date Launched,Time Launched,Launch Pressure (bar),Pressure After Launch (bar),Pig Type,Date Recovered,Time Recovered,Recovery Pressure (bar),Pressure After Recovery (bar),Pig Condition,Debris QTY (kg),Debris Type,,Length mm,Thickness ge mm,Thickness sc,Dia ge mm,Dia sc mm,Brushes mm,Height brushes mm
36'' Rumuekpe-Nkpoku Manifold,1,DSV,04/14/2024,0420hrs,24.9,24.9,BIDI+Brushes,04/19/2024,1926hrs,25,25,Moderate,2041,Sand/Sludge,,1570,45,30,890,920,100,70
36'' Rumuekpe-Nkpoku Manifold,2,DSV,04/07/2024,1539hrs,18.9,19.5,BIDI Without Brushes,04/09/2024,1230hrs,22.6,22.6,Worn,2030,Sand,,1570,45,30,890,920,100,70
36'' Rumuekpe-Nkpoku Manifold,3,DSV,11/06/2024,0720hrs,23,23.9,BIDI Without Brushes,11/11/2024,0621hrs,24,24,Worn,2688,Sand,,1570,45,30,890,920,100,70
36'' Rumuekpe-Nkpoku Manifold,4,DSV,04/20/2024,0949hrs,23.1,23.6,BIDI+Brushes,04/23/2024,1451hrs,24,24,OK,906,Sand/Sludge,,1570,45,30,890,920,100,70
36'' Rumuekpe-Nkpoku Manifold,5,DSV,08/12/2024,1844hrs,17.8,21.9,BIDI+Brushes,08/16/2024,0128hrs,18.9,18.9,OK,1910,Sand,,1570,45,30,890,920,100,70
36'' Rumuekpe-Nkpoku Manifold,6,DSV,04/28/2024,0724hrs,17.3,21.9,BIDI Without Brushes,05/01/2024,1118hrs,18.7,18.7,OK,1610,Sand/Sludge,,1570,45,30,890,920,100,70
36'' Rumuekpe-Nkpoku Manifold,7,DSV,11/10/2024,1445hrs,19.6,23.9,BIDI Without Brushes,11/12/2024,0231hrs,23.8,23.8,Moderate,1575,Sand,,1570,45,30,890,920,100,70
36'' Rumuekpe-Nkpoku Manifold,8,DSV,01/28/2024,0214hrs,18.5,24.9,BIDI+Brushes,02/02/2024,1212hrs,21.7,21.7,Worn,2916,Sand/Sludge,,1570,45,30,890,920,100,70
36'' Rumuekpe-Nkpoku Manifold,9,DSV,08/05/2024,1713hrs,25,25,BIDI Without Brushes,08/10/2024,0803hrs,25,25,Moderate,2608,Sand/Sludge,,1570,45,30,890,920,100,70
36'' Rumuekpe-Nkpoku Manifold,10,DSV,07/26/2024,0047hrs,19.9,23.4,BIDI+Brushes,07/30/2024,2153hrs,19.9,19.9,OK,896,Sand/Sludge,,1570,45,30,890,920,100,70
28'' Nkpoku-Ebubu TL,1,DSV,08/10/2024,2222hrs,17.2,18.7,BIDI+Brushes,08/14/2024,0337hrs,20.4,20.4,Moderate,1359,Sand/Sludge,,1570,45,30,890,920,100,70
28'' Nkpoku-Ebubu TL,2,DSV,01/02/2024,2016hrs,22.7,24.2,BIDI+Brushes,01/04/2024,1104hrs,25,25,Moderate,2727,Sand,,1570,45,30,890,920,100,70
28'' Nkpoku-Ebubu TL,3,DSV,11/07/2024,1640hrs,18.6,24.3,BIDI Without Brushes,11/10/2024,1912hrs,19.9,19.9,Moderate,1513,Sand,,1570,45,30,890,920,100,70
